identi,id,sizenum,v,u,T,J,X1,X2
1,1,12,4.4786843056387,5.83456611297002,4.97204046748851,1,0,-0.334705578
1,2,12,13.9791834925726,Inf,Inf,0,0,-0.238708586
1,3,12,13.917705671888,Inf,Inf,0,0,-0.136961929
1,4,12,6.7079606150254,7.26791652948279,6.83871408643801,1,1,-0.043072981
1,5,12,13.7703853199986,Inf,Inf,0,1,0.0740702296607196
1,6,12,13.7994612531302,Inf,Inf,0,0,0.17935722344555
1,7,12,5.67983662788023,7.84480450181925,5.75599806678308,1,1,0.385725573869422
1,8,12,13.8338352409061,Inf,Inf,0,0,-0.165927264
1,9,12,12.8847619104688,Inf,Inf,0,0,-0.051643028
1,10,12,1.36805540568214,1.82271666462314,1.45060719718266,1,1,-0.468090526
1,11,12,2.26184910625772,4.47177026684453,3.87304038577757,2,1,0.446249769069254
1,12,12,1.40488567011581,1.89668729754077,1.41246291886002,2,0,0.245803384110332
2,1,37,0.367692673557854,1.25967535556512,0.799049803203982,1,0,0.081435889005661
2,2,37,0,0.815140047068608,0.622990319347317,1,1,-0.45175507
2,3,37,1.70329966552773,2.34126960687319,2.05902180979732,1,0,-0.111879172
2,4,37,13.9716798949821,Inf,Inf,0,0,0.114247446646914
2,5,37,0.379148599690042,0.684020023558505,0.422069423313409,2,0,-0.026767434
2,6,37,0.903705956657993,1.16444309964927,1.00742076392155,1,0,-0.25545409
2,7,37,0.524176060666746,1.26347122873415,0.944630057475607,2,0,-0.267018558
2,8,37,0.623900395331389,1.60211410786243,0.916937486065439,2,1,0.362916972953826
2,9,37,0,2.48456048298825,0.950095969153582,1,0,0.0778512575197965
2,10,37,0.593920010218145,1.3829644402789,0.754180337762398,1,1,0.112040961161256
2,11,37,3.97011713528751,4.65171798906728,4.51338294233841,2,0,0.0662925594951957
2,12,37,0.375298475825644,1.06349512604521,0.726187925058973,1,0,-0.247321413
2,13,37,0,0.355436343213028,0.343073860262229,1,0,0.226068954216316
2,14,37,0.71721511541628,2.17664870893815,1.57985170122721,1,1,0.437461936380714
2,15,37,0.951841569738463,1.29674872360192,1.08865431697002,1,0,0.384720214875415
2,16,37,1.06931873018445,2.85808844734842,2.23691788238926,1,0,-0.492190442
2,17,37,1.01530046039045,1.57430601513491,1.57025637413726,2,0,-0.250863253
2,18,37,0.258080463856459,1.52102510345386,0.387873998365378,1,1,-0.257002268
2,19,37,0.477546727729446,0.97571837514296,0.592926771751279,2,0,0.47054614382796
2,20,37,2.09946257566082,2.63363893226463,2.14795116353794,1,0,0.105637182248756
2,21,37,0,1.7172700575644,0.707403366860805,2,0,-0.0308847
2,22,37,1.4656077110126,2.81913700683366,1.48335975430124,1,0,-0.022548335
2,23,37,13.8762377249405,Inf,Inf,0,0,-0.398211122
2,24,37,0.965167727319571,1.18329422222378,1.01516661784047,1,0,-0.2470643
2,25,37,0.116031899815425,1.40752334770033,1.10816642871014,1,0,0.250001622829586
2,26,37,0,0.832544442759518,0.3655182523253,2,1,0.426568562397733
2,27,37,0,0.59299833558262,0.425209301159572,1,1,-0.133361368
2,28,37,0.783098407026592,1.74255074829526,0.85116421605296,1,1,0.0148584074340761
2,29,37,13.4830672766111,Inf,Inf,0,0,-0.181740657
2,30,37,0.522749435195446,1.14858990210963,0.803571587758399,1,0,-0.215961046
2,31,37,3.29077669815474,3.83735150632524,3.44747414451116,1,0,0.305321364896372
2,32,37,0.252641291357577,0.398917684331536,0.389468508280525,2,0,0.331200933782384
2,33,37,0.269745746394619,1.97810200383867,0.304987392900121,2,0,0.241283586248755
2,34,37,0.617516523915654,1.13704510370915,1.0860187782602,1,0,-0.479199071
2,35,37,0.807947501984841,1.42633683230252,0.961104473376083,2,0,-0.001880662
2,36,37,1.4069272184531,1.93582530448071,1.71953232406541,1,0,0.258563235169277
2,37,37,1.6635340972353,2.11150770013135,1.90800321778201,2,0,0.295121647417545
3,1,39,0,0.449887587202197,0.0985852066048211,2,0,-0.487034312
3,2,39,0.0425930364245857,0.299771861052358,0.298122287575562,2,0,0.28589785983786
3,3,39,0.447773598151413,1.04680759366191,0.995378926822278,1,0,0.465309571707621
3,4,39,0,0.416676936033732,0.105319164700877,1,0,-0.227652849
3,5,39,0,0.466705353358234,0.113503122623244,1,1,-0.047051051
3,6,39,0,1.070412357,0.0973358527024866,1,0,-0.308999339
3,7,39,0,0.768246971028757,0.294299831150675,1,0,-0.196280305
3,8,39,0.0238733838777989,0.16659573384512,0.152904636262708,2,0,-0.102132422
3,9,39,0,0.105520328739658,0.0672126967846269,2,0,-0.223442507
3,10,39,0,0.410089376361525,0.11336329925252,1,0,0.029447662178427
3,11,39,0,2.18609193886135,0.165797859288494,1,1,-0.03884654
3,12,39,0.17846668853884,0.470744495254158,0.205844185148998,1,0,-0.485636824
3,13,39,0,0.392056197422233,0.110201739824495,2,0,0.325162176741287
3,14,39,0,1.72091544411125,0.157712175746786,1,1,-0.024199211
3,15,39,0,0.936452956828189,0.0764901945597758,2,0,0.0986271898727864
3,16,39,0.223713172599673,0.268147331662476,0.249675596451539,1,1,-0.40951952
3,17,39,0,0.2103637305554,0.198393271677757,1,0,0.164078642148525
3,18,39,0.176601470913738,0.611813689562114,0.281063651125511,2,1,-0.45880117
3,19,39,0,1.36142197524415,0.221167394226354,2,0,-0.004456206
3,20,39,0.193938016192988,1.75289043322405,0.335938535095022,2,0,0.400952971540391
3,21,39,0,1.37663311784374,0.115876540687691,2,0,0.371282506501302
3,22,39,0,0.419018278996237,0.15410843088959,1,0,0.246855502016842
3,23,39,0,0.290202419506386,0.0900915965681611,2,0,-0.114068135
3,24,39,0,0.544526544378555,0.0671422740497823,2,0,0.497796873329207
3,25,39,0,1.53660469107438,0.281878373620376,2,0,-0.16990634
3,26,39,0,1.35051095945047,0.193543143815354,1,1,0.396948355250061
3,27,39,0,0.293053604330531,0.171037365130029,2,1,-0.39886457
3,28,39,0,0.404055438468766,0.112593656656186,2,0,0.167504692217335
3,29,39,0,0.838547880719316,0.070981274741919,2,0,0.495697194477543
3,30,39,0.00889463140629232,0.827843793393013,0.232886663509268,1,0,0.00948782707564533
3,31,39,0.0165169073023268,1.110110656,0.108052725153801,2,1,-0.089363621
3,32,39,0,1.21867123333024,0.177209990055557,1,1,0.297798109706491
3,33,39,2.01456206557904,2.53267514597018,2.29472706819941,2,0,-0.308989502
3,34,39,0.0515329120787877,0.292514899523472,0.194017107916956,1,1,-0.3431742
3,35,39,0.036403342593292,0.237064618129114,0.113498560427318,1,1,-0.109250818
3,36,39,0,0.664596163646734,0.141706749455194,1,1,0.23959657154046
3,37,39,0,1.49130674070659,0.200085362587216,1,1,-0.032353583
3,38,39,0,0.240865885745734,0.0749978493614703,2,0,0.206465282244608
3,39,39,0.10253568738699,0.277561413822696,0.190680588351233,1,1,-0.426999684
4,1,39,1.39978075419077,1.88989863980779,1.62987709256759,2,0,0.463821277720854
4,2,39,13.9419437941932,Inf,Inf,0,0,-0.498169424
4,3,39,0.473716672460249,1.02133317703765,0.742910227202059,1,1,0.0322942370548844
4,4,39,13.9572222113445,Inf,Inf,0,1,-0.488561539
4,5,39,1.10441258498923,1.84202279141993,1.545452174,2,1,-0.192836946
4,6,39,1.3763495795109,1.96572235780127,1.63511418922241,1,1,0.162424860522151
4,7,39,13.7291697884099,Inf,Inf,0,1,-0.451182359
4,8,39,13.990268652389,Inf,Inf,0,0,0.140458049718291
4,9,39,1.17797276419644,2.94144726901424,2.44642358694628,1,0,-0.017273963
4,10,39,13.5676979659477,Inf,Inf,0,0,-0.231236368
4,11,39,13.3848768750253,Inf,Inf,0,0,0.389252176973969
4,12,39,13.8199091482063,Inf,Inf,0,1,-0.272405085
4,13,39,13.3094940794522,Inf,Inf,0,1,0.0529125018510967
4,14,39,13.8680736671806,Inf,Inf,0,1,-0.113589721
4,15,39,0,0.710866535340438,0.703853311063597,1,1,0.253712794044986
4,16,39,1.7460505955803,1.8866895994122,1.85806734144969,2,1,-0.216970847
4,17,39,3.97319555325318,4.39010949799438,4.04353149095935,1,1,0.481377800228074
4,18,39,1.00522440616755,1.81999278288572,1.35700707020407,1,0,0.430443871999159
4,19,39,2.24257291858897,3.67164349180507,3.53524201187391,2,1,-0.046714332
4,20,39,13.8743042418072,Inf,Inf,0,0,0.118495662230998
4,21,39,13.8228738587664,Inf,Inf,0,0,-0.383527213
4,22,39,0.902121637926853,3.10954499136854,2.88899605788033,2,0,0.00461361929774284
4,23,39,13.8009555013557,Inf,Inf,0,1,0.0251501831226051
4,24,39,13.4340750601704,Inf,Inf,0,0,0.182514004409313
4,25,39,1.34431148551167,2.20137246552141,1.8314077032978,2,1,-0.473513857
4,26,39,13.5829651417576,Inf,Inf,0,0,-0.296559816
4,27,39,1.07131490173624,2.4211103037009,1.16918464557412,2,1,-0.329338041
4,28,39,0.456054714657276,3.75203849743765,1.35300500294245,2,1,0.418992238119245
4,29,39,1.24409820864289,1.75881440868675,1.3673008759655,1,0,-0.339047897
4,30,39,13.4817179124151,Inf,Inf,0,0,0.245248598977923
4,31,39,13.88532367,Inf,Inf,0,1,0.196827150415629
4,32,39,13.9483369844595,Inf,Inf,0,0,-0.003145196
4,33,39,0.321358011065924,3.03159890491614,1.14185622047469,2,0,0.184681999729946
4,34,39,0,1.91676121473986,1.6640565605154,2,1,-0.305410804
4,35,39,1.80554942948567,2.61805277102906,1.87869626521188,2,0,0.216793475672603
4,36,39,13.9625064972066,Inf,Inf,0,0,-0.243607067
4,37,39,4.12336528626029,5.13170411292677,4.43754335661555,2,0,0.0979874629992992
4,38,39,0.550746547693998,1.64013929629232,1.10648703783481,1,1,-0.291364447
4,39,39,13.6907670520893,Inf,Inf,0,1,0.0737144486047328
5,1,40,0,1.70474958038869,1.14606056003307,1,1,-0.226470668
5,2,40,1.59324013979427,1.97360587143354,1.84736646948955,2,1,-0.300377055
5,3,40,0.927269191671995,1.3327958441175,1.01449037370888,2,0,-0.078190942
5,4,40,0,1.31604339082943,1.12438858608148,2,0,-0.476991791
5,5,40,0.763538740533304,1.64230345274302,0.851542050805799,1,0,0.0885645379312336
5,6,40,0.485446557847267,0.952447714945146,0.825048457668303,2,1,0.453414775431156
5,7,40,13.2429231499833,Inf,Inf,0,0,-0.007581266
5,8,40,0,0.668519925305104,0.527303902939883,2,0,-0.419567055
5,9,40,0.664230711974244,1.36367100764724,0.994636098041304,2,0,0.0546822149772197
5,10,40,0.426453530349724,1.05116548529491,0.801928569579493,1,0,-0.408625315
5,11,40,1.04987071708538,1.26959280458041,1.06228483964392,1,0,0.143600289942697
5,12,40,0.0825642312411219,1.42349237127447,0.60679900446063,1,1,-0.216503076
5,13,40,0.476349676144159,1.41278593161198,0.730450692373321,2,0,0.193096736911684
5,14,40,1.51584012106326,1.96837254656249,1.81020668321935,2,1,-0.186186446
5,15,40,0,1.40108918390217,0.801308221653374,2,1,-0.132194832
5,16,40,0,0.38936554903344,0.371360415892377,1,1,0.224843896692619
5,17,40,13.3817565200685,Inf,Inf,0,0,-0.374270587
